Texto;Link
Estão abertas as inscrições para o programa de bolsas de estudos parciais em New York, ofertado pela State University of New York at New Paltz/Albany para alunos de sua instituição de ensino. As inscrições vão até 16 de abril de 2023. Estes programas oferecem um módulo de inglês para negócios gratuitamente, com dupla certificação e dois contatos com executivos locais, sendo uma visita a empresa e uma visita opcional à ONU New York.;https://www.ufrpe.br/br/content/abertas-inscri%C3%A7%C3%B5es-para-bolsas-parciais-em-nova-iorque
Estão abertas as incrições do edital para seleção de candidatos ao Programa de Mobilidade Virtual, com disciplinas ministradas virtualmente, para o semestre de 2022.2, ano civil 2023, destinado a estudantes de graduação da UFRPE e estudantes estrangeiros. As inscrições vão do dia 30 de março de 2023 a 14 de abril de 2023. As incrições se encerram no dia 15 de abril de 2023;https://www.ufrpe.br/br/content/ninterip%C3%AA-divulga-edital-de-programa-de-mobilidade-virtual
Resultados preliminares PAD e PAG - Foi divulgado o resultado parcial do Programa de Apoio ao Discente(PAD) e Programa de Apoio à Gestante(PAG), semestre regular 2022.1, Editais 22 e 23 de 2022, da SEDE, UACSA e UABJ. O PDF com o nome dos aprovados se encontra disponivel no site da UABJ.;http://www.uabj.ufrpe.br/br/noticia/resultados-preliminares-pad-pag
Projeto de Extensão - Oficina Preparatória para Certificação PMP. Do dia 13 de março de 2023 ate o dia 16 de março de 2023 as incrições estão abertas para a Oficina Preparatória para Certificação PMP. Trata-se de um Projeto de Extensão com o intuito de preparar o participante para a Certificação Internacional PMP - Profissional em Gestão de Projetos  do Project Management Institute - PMI (USA);http://www.uabj.ufrpe.br/br/noticia/projeto-extens%C3%A3o-oficina-preparat%C3%B3ria-certifica%C3%A7%C3%A3o-pmp
"Para se inscrever em alguma bolsa ofertada pela UFRPE, o discente precisa acessar o SIGAA, ir na aba de ""Bolsas"" e Aderir ao Cadastro Único.";https://sigs.ufrpe.br/sigaa/logar.do?dispatch=logOff
PROGRAMA DE APOIO AO INGRESSANTE (PAI): concede bolsas aos calouros, ingressantes nos cursos de graduação presenciais em situação de vulnerabilidade socioeconômica, regularmente matriculados. O valor da bolsa é de R$ 379,00. No momento não se encontram aberto editais para ingressar no PAI.;https://www.ufrpe.br/br/content/progest-divulga-editais-de-bolsas-de-assist%C3%AAncia-estudantil
PROGRAMA DE APOIO AO DISCENTE (PAD): Tem o objetivo de conceder bolsas a estudantes reconhecidamente em situação de vulnerabilidade socioeconômica durante a realização do curso de graduação. O valor da bolsa é de R$ 379,00. No momento não se encontram abertos editais para o PAD.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/noticias/Edital%2022.2022%20PAD_0.pdf
PROGRAMA DE APOIO AO GESTANTE (PAG): tem como objetivo da concessão de Auxilio Creche na UFRPE. O programa é voltado a alunas regularmente matriculadas em seus cursos que tenham concebido um filho (a) durante seus estudos na UFRPE. O valor da bolsa é de R$ 345,00. No momento não se encontram abertos editais para o PAG.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/noticias/Edital%2023.2022%20PAG_0.pdf
"Bolsas de iniciação científica da UFRPE têm aumento a partir de abril de 2023. A gestão superior da UFRPE divulga, nesta quarta-feira (15/03), o aumento das bolsas de iniciação científica pagas pela Instituição a partir de abril. Com o aumento,  as bolsas Pibiti, Piemp, Pibic e Pibic-AF passam de R$400 para R$700;  e a Pibic-EM vai de R$100 para R$300.  ";https://www.ufrpe.br/br/content/bolsas-de-inicia%C3%A7%C3%A3o-cient%C3%ADfica-da-ufrpe-t%C3%AAm-aumento-partir-de-abril-de-2023
;
;
;
;
;
;
;
