Texto;Links
Para o 1º(Primeiro) periodo de computação, as materias das Segundas-Feiras são: Fisíca 1, Cálculo 1, Inglês 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 1º(Primeiro) periodo de computação, as materias das Terças-Feiras são: Matemática Discreta 1, Int. Eng. Da Computação, Programação 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 1º(Primeiro) periodo de computação, as materias das Quartas-Feiras são: Cálculo 1, Física 1, Geometria Analítica.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 1º(Primeiro) periodo de computação, as materias das Quintas-Feiras são: Matemática Discreta 1, Programação 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 1º(Primeiro) periodo de computação, as materias das Sextas-Feiras são: Metodologia Científica, Inglês 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 2º(Segundo) periodo de computação, as materias das Segundas-Feiras são: Álgebra Linear , Física 2, Cálculo 2, Matemática Discreta 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 2º(Segundo) periodo de computação, as materias das Terças-Feiras são: Inglês 2, Programação 2, Matemática Discreta 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 2º(Segundo) periodo de computação, as materias das Quartas-Feiras são: Álgebra Linear, Física 2, Programação 2, Cálculo 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 2º(Segundo) periodo de computação, as materias das Quintas-Feiras são: Met. Do Trabalho Científico, Inglês 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 2º(Segundo) periodo de computação, as materias das Sextas-Feiras são: Met. Do Trabalho Científico.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 3º(Terceiro) periodo de computação, as materias das Segundas-Feiras são: Inglês 3, Estatística e Probalidade, Proj. Inter. Eng. Comp. 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 3º(Terceiro) periodo de computação, as materias das Terças-Feiras são: Cálculo 3, Física 3, Sistemas Digitais, Algoritmos e Estrutura de Dados.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 3º(Terceiro) periodo de computação, as materias das Quartas-Feiras são: Estatística e Probabilidade, Inglês 3, Sistemas Digitais.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 3º(Terceiro) periodo de computação, as materias das Quintas-Feiras são: Cálculo 3, Física 3, Algoritmos e Estrutura de Dados.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 3º(Terceiro) periodo de computação, as materias das Sextas-Feiras são: Não há disciplinas.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 4º(Quarto) periodo de computação, as materias das Segundas-Feiras são: Cálculo Numérico, Redes de Computadores.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 4º(Quarto) periodo de computação, as materias das Terças-Feiras são: Inglês 4, Proj. Inter. Eng. Comp. 2, Circuitos Eletricos 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 4º(Quarto) periodo de computação, as materias das Quartas-Feiras são: Arquitetura de Computadores, Circuitos Eletricos 1, Cálculo Numérico, Redes de Computadores.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 4º(Quarto) periodo de computação, as materias das Quintas-Feiras são: Arquitetura de Computadores, Inglês 4, Circuitos Eletricos 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 4º(Quarto) periodo de computação, as materias das Sextas-Feiras são: Gestão Ambiental.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 5º(Quinto) periodo de computação, as materias das Segundas-Feiras são: Proj. de Redes de Computadores, Banco de Dados, Análise de Desempenho, Planejamento e Gerenciamento de Projetos.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 5º(Quinto) periodo de computação, as materias das Terças-Feiras são: Proj. Inter. Eng. Comp. 3, Segurança da Informação, Sistemas Operacionais.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 5º(Quinto) periodo de computação, as materias das Quartas-Feiras são: Banco de Dados, Proj. de Redes de Computadores, Análise de Desempenho.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
Para o 5º(Quinto) periodo de computação, as materias das Quintas-Feiras são: Segurança da Informação, Sistemas Operacionais.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20da%20Computa%C3%A7%C3%A3o.pdf
