Texto;Links
Para o 1º(Primeiro) periodo de Controle e Automação as materias das Segundas-Feiras são: Fisíca 1, Cálculo 1, Inglês 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 1º(Primeiro) periodo de Controle e Automação as materias das Terças-Feiras são: Int. Eng. De Controle e Automação, Programação 1, Geometria Analítica e Desenho Tecnico.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 1º(Primeiro) periodo de Controle e Automação as materias das Quartas-Feiras são: Cálculo 1, Física 1.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 1º(Primeiro) periodo de Controle e Automação as materias das Quintas-Feiras são: Programação 1 e Desenho Tecnico.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 1º(Primeiro) periodo de Controle e Automação as materias das Sextas-Feiras são: Metodologia Científica, Inglês 1 e Gestão Ambiental.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 2º(Segundo) periodo de Controle e Automação as materias das Segundas-Feiras são: Álgebra Linear , Física 2, Cálculo 2, Inglês 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 2º(Segundo) periodo de Controle e Automação as materias das Terças-Feiras são: Met. Do Trabalho Cientifico, Quimica Geral, Sistemas Digitais e Fisica 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 2º(Segundo) periodo de Controle e Automação, as materias das Quartas-Feiras são: Álgebra Linear, Cálculo 2, Sistemas Digitais e Inglês 2.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 2º(Segundo) periodo de Controle e Automação as materias das Quintas-Feiras são: Quimica Geral.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
Para o 2º(Segundo) periodo de Controle e Automação as materias das Sextas-Feiras são: Met. Do Trabalho Científico e Gestão da Produção.;http://www.uabj.ufrpe.br/sites/uabj.ufrpe.br/files/Hor%C3%A1rio%20-%20Engenharia%20de%20Controle%20e%20Automa%C3%A7%C3%A3o_0.pdf
