link,titulo,texto
/br/content/%E2%80%9Cei-parente-se-mapeia%E2%80%9D-proexc-realiza-levantamento-sobre-presen%C3%A7a-de-estudantes-ind%C3%ADgenas-na,"“Ei parente, se mapeia!”: PROEXC realiza levantamento sobre presença de estudantes indígenas na...",
/br/content/edital-ufrpe-extra-para-oferta-de-bolsas-de-gradua%C3%A7%C3%A3o-carrefour-0,Edital UFRPE Extra para oferta de Bolsas de graduação Carrefour,"A Reitoria da Universidade Federal Rural de Pernambuco, por meio de Termo de Cooperação entre a UFRPE e o GRUPO CARREFOUR COMÉRCIO E INDÚSTRIA LTDA., gerencia, em âmbito institucional, a concessão de bolsas de estudo e permanência para cursos de graduação. O objetivo edital é a seleção de discentes dos cursos de graduação que preencham as exigências deste edital e as condições previstas no Edital Carrefour 2022."
/br/content/comitiva-da-ufrpe-visita-pr%C3%A9dio-administrativo-do-complexo-de-suape,Comitiva da UFRPE visita prédio administrativo do Complexo de Suape,"No dia 31 de março de 2023, a UFRPE esteve no prédio administrativo do Complexo industrial-portuário de SUAPE, em reunião com o presidente Márcio Guiot e gestores de SUAPE para discutir sobre projetos em parceria da Estação SUAPE-UFRPE de Sustentabilidade - ESUS, que está instalada no quinto andar do prédio administrativo."
/br/content/mostra-de-literatura-de-autoria-feminina-movimenta-o-campus,Mostra de Literatura de Autoria Feminina movimenta o campus,"A UFRPE realiza, na próxima terça-feira (11/04), a Mostra de Literatura de Autoria Feminina Literaufem. O evento surgiu a partir da disciplina Literatura de Autoria Feminina: perspectivas e reflexões, ministrada pelo Prof. Dr. Iêdo Paes/DL/PROGEL/UAEADTec, e acontecerá no Cegoe (hall e subsolo/pilotis) das 14h às 18h."
/br/content/ministro-da-pesca-almo%C3%A7a-com-reitores-no-ru-da-ufrpe-para-lan%C3%A7amento-de-programa,Ministro da Pesca almoça com reitores no RU da UFRPE para lançamento de programa,"O Salão Nobre da UFRPE é palco, nesta terça-feira (4/04), às 14h, para o lançamento do  projeto piloto RU Na Hora do Pescado Artesanal e da Campanha Pescador e Pescadora Legal. O evento tem início antes, no Restaurante Universitário (R.U) da UFRPE, quando o ministro da Pesca e Aquicultra, André de Paula, almoça com o reitor da UFRPE, Marcelo Carneiro Leão, e o reitor da UFPE, Alfredo Gomes, além de representantes das comunidades pesqueiras."
/br/content/ufrpe-firma-parceria-para-cria%C3%A7%C3%A3o-do-1%C2%B0-centro-de-forma%C3%A7%C3%A3o-para-gest%C3%A3o-de-materiais,UFRPE firma parceria para criação do 1° Centro de Formação para Gestão de Materiais Recicláveis,
/br/content/webpalestra-mitos-e-desafios-do-teletrabalho-ocorre-no-dia-1104,Webpalestra Mitos e Desafios do teletrabalho ocorre no dia 11/04,"A UFRPE, por meio do Departamento de Desenvolvimento de Pessoas (Progepe), convida o(a)s servidore(a)s técnico-administrativo(a)s e docentes da UFRPE a participarem da Webpalestra: Mitos e Desafios do Teletrabalho, que será realizada às 9h do dia 11 de abril de 2023, no Canal UFRPE: https://www.youtube.com/UFRPEoficial ."
/br/content/ufrpe-e-fundaj-lan%C3%A7am-pesquisa-colaborativa-sobre-condi%C3%A7%C3%B5es-de-acesso-e-perman%C3%AAncia-de,UFRPE e FUNDAJ lançam pesquisa colaborativa sobre as condições de acesso e permanência de...,"Nesta quinta-feira 30 de março, a UFRPE, em parceria com a Fundação Joaquim Nabuco/FUNDAJ, faz o lançamento da pesquisa intitulada &quot;Educação: Condições de acesso e permanência para garantia da qualidade&quot;. O evento é gratuito e acontece a partir das 9h na Sala Verde, da Pró-Reitoria de Extensão, Cultura e Cidadania, da Universidade Federal Rural de Pernambuco (UFRPE) ."
/br/content/ninterip%C3%AA-promove-webn%C3%A1rio-sobre-internacionaliza%C3%A7%C3%A3o-do-curr%C3%ADculo-na-ufrpe,Ninter/Ipê promove webnário sobre internacionalização do currículo na UFRPE,"O Núcleo de Internacionalização do Instituto IPÊ realiza Webinário Internacional sobre a Internacionalização do Currículo da UFRPE, no dia 03 de maio de 2023, às 19h, no YouTube Oficial da UFRPE. Teremos como palestrantes convidados:"
/br/content/proplan-divulga-relat%C3%B3rio-de-gest%C3%A3o,Proplan divulga Relatório de Gestão,
/br/content/ufrpe-faz-parceria-com-universidad-nacional-de-educaci%C3%B3n-do-equador,UFRPE faz parceria com a Universidad Nacional de Educación do Equador,
/br/content/ufrpeuast-recebe-estrangeira-pelo-programa-capesfulbright,UFRPE/UAST recebe estrangeira pelo Programa CAPES/Fulbright,
/br/content/ufrpe-recebe-semin%C3%A1rio-sobre-walter-benjamin,UFRPE recebe seminário sobre Walter Benjamin,
/br/content/presta%C3%A7%C3%A3o-de-contas-da-ufrpe-%C3%A9-aprovada-por-unanimidade-no-consu,Prestação de contas da UFRPE é aprovada por unanimidade no Consu,"O Conselho Universitário (Consu) aprovou por unanimidade, na última sexta-feira (24/03), a prestação de contas da UFRPE. Na ocasião, foram apresentados gráficos e informações que demonstram que, mesmo com toda dificuldade orçamentária vivenciada nos últimos três anos, a Universidade, com o apoio de toda comunidade universitária, manteve serviços essenciais, projetos e ações estruturantes e contas e bolsas pagas."
/br/content/pet-ecologia-promove-evento-em-homenagem-ao-dia-internacional-das-florestas,PET Ecologia promove evento em homenagem ao Dia Internacional das Florestas,
/br/content/ninterip%C3%AA-divulga-plataforma-match-coil,Ninter/Ipê divulga plataforma Match Coil,
